Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
defauIt,RU,356,262,95.27.131.238,95-27-131-238.broadband.corbina.ru,32503,29030,0,0,1,0,0,1,1,1,1,Tor 0.2.8.11 on Windows 8,0,0,2014-04-20,CORBINA-AS OJSC _Vimpelcom_- RU,8402,1150,None
grape,CZ,356,10053,93.170.77.174,93.170.77.174,15951,14540,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-05-15,WORLDSTREAM +++ Transit Imports- NL,49981,1190,None
wangfengming,US,356,495,163.44.112.230,v163-44-112-230.a009.g.sjc1.static.cnode.io,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.8.8 on Linux,0,0,2016-12-07,INTERQ GMO Internet-Inc- JP,7506,2510,None
HummingContemptGla,CA,357,57,64.137.189.109,64.137.189.109,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.8.8 on Linux,0,0,2017-01-24,COLOWAREHOUSEONTARIO - 2267921 ONTARIO LTD- CA,55053,3530,None
mberelay,NL,357,3,77.170.230.163,ip4daae6a3.direct-adsl.nl,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-11-06,KPN This macro reflects our filtering-policy on- NL,1136,1410,None
dc6jgk4,DE,358,1013,195.234.152.86,egal.gkware.de,443,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-08-04,KPN - NL,286,1570,None
duchin,UA,358,507,91.203.5.165,saqpk.monthlycheckin.com,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2015-12-08,VOLIA-AS - UA,25229,1390,None
obtaingrep,DE,358,588,89.249.65.6,mysqlcore.wfcs.co.uk,6044,26913,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2017-01-09,M247 - GB,9009,1310,None
Unnamed,US,358,221,173.213.113.155,torsrvt.snydernet.net,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2014-04-11,SERVERHUB-PHOENIX - Eonix Corporation- US,30693,1670,[2607:ff28:0:a::2743:857f]:443
expectingunexpected,UA,359,312,195.138.94.102,n1-vipa34.te.net.ua,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-01-27,TENET-AS - UA,6876,1050,None
